;Test1;1000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 1
max@evildevel.com;;1000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 2
max@evildevel.com;Test1;;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 3
max@evildevel.com;Test1;1000;PayPal;;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 4
unknown@evildevel.com;Test1;1000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 5
max@evildevel.com;Test1;1000;PayPal;2015-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 6
max@evildevel.com;Unknown;1000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 7
max@evildevel.com;Test1;10000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 8
max@evildevel.com;Test1;10000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 9
seendry@glamurnenko.ru;Test1;2000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 10
seendry@glamurnenko.ru;Test1;2000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 11
seendry@glamurnenko.ru;Test1;2000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 12
evildevel@ya.ru;Test1;2000;PayPal;2017-04-27 00:00:00;Максим;Селиванов;Россия;Москва;+79125652772;Тестовый импорт 13
